context_3,context_2,context_1,response
,,,"Если не подписывать, что это учебная дз практикума, то проект выглядит, как неплохой отчет о выполненной работе."
,,"Если не подписывать, что это учебная дз практикума, то проект выглядит, как неплохой отчет о выполненной работе.",Всем добрый денек! Занимаюсь задачей QA по корпусу документов. Первым этапом нужно сделать извлечение/ранжирование списка документов в соответствии с заданным вопросом. Какая сейчас сота в этом плане?
,,,"Или не сота, но хотя бы базированное решение, с которого не стыдно начать"
,,"Или не сота, но хотя бы базированное решение, с которого не стыдно начать","Retrieve and rerank sbert, думаю"
,,,"Я был давно на Графиконе, это больше для студентов-аспирантов конференция, а не где большие дяди меряются достижениями. известные люди с ВМК МГУ там были"
,,,"Добрый день, с глупым вопросом возможно залечу. Имеются изображения с архитектурным планом недвижки (черные стены, белый фон). Есть две комнаты, обе прямоугольные, одна очевидно большая и жилая, вторая небольшая и не жилая. Кроме стен ничего нет (ни мебели, ни подписей). Как-то можно разделить такие объекты на два разных класса непосредственно нейронкой? Сверточные нейронки как признаки выделяют только формы, или размеры объекта как-то могут повлиять на результат определения класса?

Использую Yolo для сегментации границ жилых помещений. Думал над разметкой и встал такой вопрос. Может есть мысли и по разметке для такой задаче? Нужно ли выделять отдельно нежилые помещения типа санузлов и кухни, если нужно только жилые помещения определить? (в кухнях и санузлах могут присутствовать бытовая техника и сантехника соответственно)"
,,"Добрый день, с глупым вопросом возможно залечу. Имеются изображения с архитектурным планом недвижки (черные стены, белый фон). Есть две комнаты, обе прямоугольные, одна очевидно большая и жилая, вторая небольшая и не жилая. Кроме стен ничего нет (ни мебели, ни подписей). Как-то можно разделить такие объекты на два разных класса непосредственно нейронкой? Сверточные нейронки как признаки выделяют только формы, или размеры объекта как-то могут повлиять на результат определения класса?

Использую Yolo для сегментации границ жилых помещений. Думал над разметкой и встал такой вопрос. Может есть мысли и по разметке для такой задаче? Нужно ли выделять отдельно нежилые помещения типа санузлов и кухни, если нужно только жилые помещения определить? (в кухнях и санузлах могут присутствовать бытовая техника и сантехника соответственно)","А почему вы решили, что комната поменьше не жилая? Из описания задачи, приведенного вами, этого не следует.
Обычно на плане должны быть хотя бы номера помещений, и экспликация (возможно на другом листе), без этого даже эскиз не имеет смысла. => нужно привязываться к ним, распознавать названия и номера, и на этой основе определять что из себя представляет то или иное помещение. Только по размеру мастерскую например от комнаты отдыха не отличить."
,,,"Базовыми методами opencv типа find_contours не решается задача?  Самый большой - жилая комната, остальные - кухня/санузел.."
,,,"opencv пока не пробовали, но можно.
""Самый большой - жилая комната, остальные - кухня/санузел.."" - Комнат может быть несколько, не всегда самая большая - жилая"
,,"opencv пока не пробовали, но можно.
""Самый большой - жилая комната, остальные - кухня/санузел.."" - Комнат может быть несколько, не всегда самая большая - жилая",В вопросе была именно такая формулировка)
,,,"Всем привет! 
Подскажите, пожалуйста, какие-то недостатки и ограничения LightFM
Вроде вещь популярная, статью прочитал, контрибушены осознал, а вот в каком случае он на практике применим не будет, хочется узнать из вашего личного опыта, для лучшего понимания
Заранее спасибо!"
,,"Всем привет! 
Подскажите, пожалуйста, какие-то недостатки и ограничения LightFM
Вроде вещь популярная, статью прочитал, контрибушены осознал, а вот в каком случае он на практике применим не будет, хочется узнать из вашего личного опыта, для лучшего понимания
Заранее спасибо!",контекстов когда совсем не применим я не могу придумать)
,,,"возможно неправильно выразился. Вопрос скорее в другом. На изображении есть несколько идентичных объектов, одни побольше, другие поменьше. Размер объекта как-то оказывает существенное влияние на предсказания свёрточной сети, если нет прям микрообъектов? Может ли нейросеть на основе размера идентичных объектов разграничить их на разные классы?"
,,"возможно неправильно выразился. Вопрос скорее в другом. На изображении есть несколько идентичных объектов, одни побольше, другие поменьше. Размер объекта как-то оказывает существенное влияние на предсказания свёрточной сети, если нет прям микрообъектов? Может ли нейросеть на основе размера идентичных объектов разграничить их на разные классы?","У вас же чертежи в масштабе, векторизуйте их, вычислите площадь помещения и стройте решение исходя из площади в метрах"
,"возможно неправильно выразился. Вопрос скорее в другом. На изображении есть несколько идентичных объектов, одни побольше, другие поменьше. Размер объекта как-то оказывает существенное влияние на предсказания свёрточной сети, если нет прям микрообъектов? Может ли нейросеть на основе размера идентичных объектов разграничить их на разные классы?","У вас же чертежи в масштабе, векторизуйте их, вычислите площадь помещения и стройте решение исходя из площади в метрах",на большей части изображений отсутствуют масштаб и размеры. По большей части это куча соединенных прямоугольников без надписей
,,,"йоло может различать объекты по размеру, должно завестись из коробки, главное убрать аугментацю с изменением масштаба картинок"
,,,"Это хороший бейзлайн, из минусов
1 медленный в сравнении с имплисит и нейросетками
2 не самая умная обработка мета фичей, только категориальные + просто суммирование векторов"
,,"Это хороший бейзлайн, из минусов
1 медленный в сравнении с имплисит и нейросетками
2 не самая умная обработка мета фичей, только категориальные + просто суммирование векторов","А сори, ещё вопросик, правильно ли я понял, что контентные фичи, которые можно в lightFM использовать - только категориальные

То есть я не смогу заэмбеддить текст и подать как фичи контентные?"
,,,Большое спасибо! А в implicit можно ли контентные фичи учитывать или только коллаборативность?
,,,только коллаборативные насколько помню
,,только коллаборативные насколько помню,Спасибо!
,,,"Всем привет! Посоветуйте, пж, библиотеки для тренировки моделей под instance сегментацию на RGBD данных (RGB + глубина)"
,,"Всем привет! Посоветуйте, пж, библиотеки для тренировки моделей под instance сегментацию на RGBD данных (RGB + глубина)",Попробуй подай 4м каналом в mmdet
,"Всем привет! Посоветуйте, пж, библиотеки для тренировки моделей под instance сегментацию на RGBD данных (RGB + глубина)",Попробуй подай 4м каналом в mmdet,"Тоже думал об этом. Попробую, спасибо)"
,,,"да, там нужно за он-хотить все категории, сконкатенировать и подать в модель, и это кстати вообще не очевидно из документации"
,,"да, там нужно за он-хотить все категории, сконкатенировать и подать в модель, и это кстати вообще не очевидно из документации","более того, если подавать метадату другим образом, модель ее скушает и даже как-то обучится, но будет сильно хуже своего потенциала"
,"да, там нужно за он-хотить все категории, сконкатенировать и подать в модель, и это кстати вообще не очевидно из документации","более того, если подавать метадату другим образом, модель ее скушает и даже как-то обучится, но будет сильно хуже своего потенциала",Большое спасибо за важную инфу)
,,,А цена явно хорошая)
,,,"Всем привет, нужно посчитать 6 квантилей в датасете размером 112 фичей на 3 млн сэмплов. Пандосовский quantile считает вечность, пробовал dask, он тоже это делает очень долго. Кто-нибудь знает какие-то оптимизации для этой задачи?"
,,"Всем привет, нужно посчитать 6 квантилей в датасете размером 112 фичей на 3 млн сэмплов. Пандосовский quantile считает вечность, пробовал dask, он тоже это делает очень долго. Кто-нибудь знает какие-то оптимизации для этой задачи?","Сложить в np.array, например"
,,,"всем привет!
что-то я не очень понимаю для чего FFD нужен, это что-то вроде нормализации временных рядов? если да, то почему не используют CPD?"
,,"всем привет!
что-то я не очень понимаю для чего FFD нужен, это что-то вроде нормализации временных рядов? если да, то почему не используют CPD?",если речь про change point detection то нужно за что-то зацепиться для принятия решения. если о другом - то ¯\_(ツ)_/¯
,,,Polars? Numba jit? Map-reduse на gpu?
